,x
1746,1639256
1747,1639285
1748,1639316
1749,1639532
1750,1639546
1751,1639571
1752,1639612
1753,1639630
1754,1639657
1755,1639674
1756,1639691
1757,1639743
1758,1639770
1759,1639886
1760,1639901
1761,1640083
1762,1640130
1763,1640164
1764,1640170
1765,1640289
1766,1640398
1767,1640442
1768,1640512
1769,1640669
1770,1640799
1771,1640942
1772,1641037
1773,1641243
1774,1641251
1775,1641278
1776,1641396
1777,1641476
1778,1641585
1779,1641602
1780,1641824
1781,1642147
1782,1642211
1783,1642271
1784,1642369
1785,1642386
1786,1642408
1787,1642470
1788,1642605
1789,1642718
1790,1642807
1791,1643158
1792,1643274
1793,1643277
1794,1643398
1795,1643530
1796,1643590
1797,1643706
1798,1643727
1799,1643828
1800,1643871
1801,1643962
1802,1643985
1803,1644108
1804,1644184
1805,1644261
1806,1644304
1807,1644394
1808,1644594
1809,1644605
1810,1644983
1811,1645034
1812,1645290
1813,1645508
1814,1645618
1815,1645658
1816,1645745
1817,1645936
1818,1646014
1819,1646115
1820,1646141
1821,1646178
1822,1646244
1823,1646287
1824,1646335
1825,1646440
1826,1646444
1827,1646487
1828,1646551
1829,1646576
1830,1646664
1831,1646683
1832,1646726
1833,1646730
1834,1646736
1835,1646864
1836,1646893
1837,1647274
1838,1647313
1839,1647644
1840,1647652
1841,1647934
1842,1647958
1843,1648073
1844,1648128
1845,1648456
1846,1648577
1847,1648597
1848,1648625
1849,1648664
1850,1648745
1851,1648774
1852,1648977
1853,1648988
1854,1649045
1855,1649060
1856,1649111
1857,1649270
1858,1649311
1859,1649382
1860,1649796
1861,1649815
1862,1649935
1863,1649950
1864,1650142
1865,1650190
1866,1650309
1867,1650315
1868,1650640
1869,1650774
1870,1650856
1871,1650920
1872,1651091
1873,1651161
1874,1651169
1875,1651514
1876,1651626
1877,1651749
1878,1651793
1879,1651868
1880,1651928
1881,1651946
1882,1651955
1883,1652042
1884,1652183
1885,1652224
1886,1652252
1887,1652318
1888,1652351
1889,1652374
1890,1652409
1891,1652518
1892,1652712
1893,1652728
1894,1652766
1895,1652915
1896,1653222
1897,1653297
1898,1653332
1899,1653409
1900,1653556
1901,1653655
1902,1653707
1903,1653734
1904,1653742
1905,1653794
1906,1653924
1907,1653996
1908,1654065
1909,1654089
1910,1654094
1911,1654131
1912,1654170
1913,1654253
1914,1654303
1915,1654540
1916,1654678
1917,1654728
1918,1654772
1919,1654805
1920,1654931
1921,1654968
1922,1655000
1923,1655112
1924,1655135
1925,1655152
1926,1655215
1927,1655236
1928,1655259
1929,1655302
1930,1655310
1931,1655312
1932,1655370
1933,1655481
1934,1655636
1935,1655841
1936,1655854
1937,1655906
1938,1655907
1939,1655963
1940,1655977
1941,1656020
1942,1656056
1943,1656133
1944,1656180
1945,1656472
1946,1656489
1947,1656532
1948,1656578
1949,1656654
1950,1656677
1951,1656685
1952,1656714
1953,1656734
1954,1656768
1955,1656796
1956,1656818
1957,1656838
1958,1656907
1959,1656913
1960,1656988
1961,1657045
1962,1657138
1963,1657228
1964,1657303
1965,1657322
1966,1657734
1967,1657918
1968,1658165
1969,1658202
1970,1658248
1971,1658388
1972,1658411
1973,1658588
1974,1658720
1975,1658771
1976,1658849
1977,1658966
1978,1659090
1979,1659176
1980,1659468
1981,1659522
1982,1659541
1983,1659569
1984,1659638
1985,1659864
1986,1659875
1987,1660009
1988,1660032
1989,1660045
1990,1660053
1991,1660119
1992,1660126
1993,1660176
1994,1660267
1995,1660277
1996,1660302
1997,1660378
1998,1660610
1999,1660774
2000,1660806
2001,1660812
2002,1660906
2003,1660952
2004,1660953
2005,1661069
2006,1661218
2007,1661270
2008,1661413
2009,1661545
2010,1661576
2011,1661582
2012,1661734
2013,1661844
2014,1661919
2015,1661983
2016,1662109
2017,1662127
2018,1662272
2019,1662322
2020,1662331
2021,1662344
2022,1662373
2023,1662388
2024,1662393
2025,1662394
2026,1662403
2027,1662454
2028,1662616
2029,1662657
2030,1662735
2031,1662978
2032,1662984
2033,1663231
2034,1663318
2035,1663455
2036,1663504
